image_uri,image_id,product_set_id,product_id,product_category,product_display_name,labels,bounding_poly
gs://demo-product-seekeasy-images/32127257_hi,32127659,visualsearch-demo-product-set,0006e9fd-d747-45e5-bb9b-a5974f2dba90,apparel,WWE Hulk Hogan Patriotic Youth T-Shirt,"color=WHITE,size=LG",
gs://demo-product-seekeasy-images/15735902_hi,15735906,visualsearch-demo-product-set,0006fdf8-817d-48ef-bd1e-c76cb7ff219a,apparel,Disney Cruella De Vil Spray Fire T-Shirt,"color=FORESTGRN,size=LG",
gs://demo-product-seekeasy-images/12230973_hi,12230975,visualsearch-demo-product-set,00071f98-238c-4025-a54a-538fa9a3c574,apparel,Nintendo Samus Spotlight Womens Tank Top,"color=ROYHTR,size=SM",
gs://demo-product-seekeasy-images/32801792_hi,32801979,visualsearch-demo-product-set,00075190-93c5-46e1-9cc2-0b275f80cce5,apparel,Disney Kingdom Hearts Aim At The Heart T-Shirt,"color=WHITE,size=3XL",
gs://demo-product-seekeasy-images/31980400_hi,31980469,visualsearch-demo-product-set,00075bf6-94fc-4b8e-b29d-3566d097801e,apparel,Hey Arnold! Get In The Game Womens Tank Top,"color=WHITE,size=SM",
gs://demo-product-seekeasy-images/20526923_hi,20526929,visualsearch-demo-product-set,0007dfca-625d-4a08-a0c4-802ccab01875,apparel,Disney Hercules Ancient World Hero Womens T-Shirt,"color=WHITE,size=2XL",
gs://demo-product-seekeasy-images/13721557_hi,13721565,visualsearch-demo-product-set,0008445f-fdac-4182-b982-309fa6df23e7,apparel,Disney Pixar Toy Story Treats Detected Womens T-Shirt,"color=ATHHTR,size=LG",
gs://demo-product-seekeasy-images/20699676_hi,20699682,visualsearch-demo-product-set,00087b6c-4420-413c-a41b-a9df55476111,apparel,Stranger Things Halftone Gang Womens Slouchy Sweatshirt,"color=GRAYHTR,size=2XL",
gs://demo-product-seekeasy-images/14147688_hi,14147697,visualsearch-demo-product-set,000886fb-ba72-4c73-a667-f351fb120527,apparel,Disney Mickey Mouse Neon Pants T-Shirt,"color=WHITE,size=LG",
gs://demo-product-seekeasy-images/20568076_hi,20568080,visualsearch-demo-product-set,0009609a-a2d2-4a27-81eb-26194857f09d,apparel,Star Wars The Mandalorian Strength Is Survival Womens T-Shirt,"color=BLACK,size=LG",
gs://demo-product-seekeasy-images/20282908_hi,20282911,visualsearch-demo-product-set,000a654a-28fb-413b-b9e3-b78608a91f1c,apparel,Marvel Spider-Man Ghost-Spider Panel Crewneck - BoxLunch Exclusive,"color=MULTI,size=MD",
gs://demo-product-seekeasy-images/20225101_hi,20225104,visualsearch-demo-product-set,000abf1a-3f25-4ec6-a835-d5a2a13bebfb,apparel,Marvel Loki's Choices Youth T-Shirt,"color=KELLY,size=MD",
gs://demo-product-seekeasy-images/33149223_hi,33149800,visualsearch-demo-product-set,000ae782-96e4-4715-a18a-3916300e8bed,apparel,Coraline Cute as a Button Sweatshirt,"color=SPORTGRAY,size=SM",
gs://demo-product-seekeasy-images/17096742_hi,17096745,visualsearch-demo-product-set,000b4799-da27-49d2-a16b-1ced3585848b,apparel,Disney Alice In Wonderland Did Someone Say Party? Youth T-Shirt,"color=BLACK,size=MD",
gs://demo-product-seekeasy-images/31289904_hi,31290038,visualsearch-demo-product-set,000b5c9f-aa31-4e9e-9c64-492bd56accb5,apparel,The Legend of Zelda: Tears of the Kingdom Master Sword Icon Sweatshirt,"color=BLACK,size=XL",
gs://demo-product-seekeasy-images/30811968_hi,30812040,visualsearch-demo-product-set,000bb3dc-c001-4ae7-9cbd-e9e5df29b556,apparel,Nimona I'm A Shark Womens Tank Top,"color=BLKHTR,size=MD",
gs://demo-product-seekeasy-images/20134934_hi,20134944,visualsearch-demo-product-set,000bb991-83bb-4d00-acef-d8380a3d6027,apparel,Cobra Kai Snake Logo Womens Tank Top,"color=MIDNIGHTNAVY,size=MD",
gs://demo-product-seekeasy-images/13294822_hi,13294931,visualsearch-demo-product-set,000c1659-72d9-43d6-aebc-d810525e2405,apparel,Star Wars Episode IX The Rise Of Skywalker Babu Posterish T-Shirt,"color=BLACK,size=XL",
